product_id,category,base_price,competitor_price,customer_segment,advertising_spend,seasonality_index,demand_volume
P000,Books,451.28,443.88,Budget,7596.09,1.02,1270
P001,Beauty,348.7,320.03,Budget,2461.44,0.99,0
P002,Clothing,344.76,357.43,Standard,2695.14,0.81,1919
P003,Books,413.07,416.8,Premium,7577.47,0.93,1794
P004,Home,269.53,295.43,Premium,2405.47,1.28,2727
P005,Books,409.38,387.06,Standard,3111.05,0.85,168
P006,Electronics,254.06,249.18,Budget,9670.12,0.78,1484
P007,Books,42.92,43.29,Budget,3297.76,0.95,1320
P008,Electronics,208.57,220.74,Budget,6954.69,1.17,2230
P009,Books,253.76,256.24,Budget,9807.68,1.05,1839
P010,Electronics,362.9,371.09,Premium,4368.67,1.11,1852
P011,Clothing,62.22,58.81,Premium,1157.64,0.81,1176
P012,Beauty,78.61,84.06,Standard,3197.33,1.07,1631
P013,Home,139.21,137.22,Standard,8477.89,0.89,1486
P014,Books,140.58,130.49,Premium,8781.48,1.2,1241
P015,Beauty,368.77,380.88,Premium,7916.67,1.08,2255
P016,Home,132.86,125.32,Budget,2017.99,0.82,952
P017,Home,320.22,294.45,Budget,8159.59,0.74,273
P018,Electronics,252.19,270.45,Standard,9268.1,0.73,2538
P019,Clothing,290.91,288.59,Premium,6405.49,0.92,1483
P020,Clothing,420.67,441.64,Standard,9467.88,0.86,2652
P021,Beauty,208.15,199.43,Premium,8441.55,1.09,1198
P022,Clothing,387.75,410.0,Budget,7002.74,1.0,2702
P023,Books,216.8,199.97,Standard,6194.67,0.86,630
P024,Clothing,183.4,178.12,Standard,4137.16,0.79,1072
P025,Beauty,479.73,525.6,Premium,2433.59,0.78,3602
P026,Clothing,100.34,106.24,Budget,6444.59,1.22,1928
P027,Books,54.27,54.24,Standard,3863.0,0.85,1354
P028,Electronics,387.78,375.35,Budget,8797.95,1.09,1027
P029,Beauty,43.44,46.67,Standard,9940.03,1.19,1864
P030,Electronics,420.17,423.94,Budget,7771.85,1.07,1776
P031,Electronics,224.22,235.81,Premium,1814.34,1.22,1968
P032,Electronics,458.6,481.91,Standard,3598.17,0.94,2537
P033,Home,363.55,328.5,Standard,1981.99,1.27,0
P034,Home,309.1,286.0,Budget,6854.6,0.78,356
P035,Electronics,475.16,490.33,Budget,7886.72,0.76,2357
P036,Beauty,204.36,190.53,Standard,9331.07,1.1,966
P037,Books,477.5,454.15,Premium,4943.55,1.27,267
P038,Books,76.15,82.95,Budget,9112.38,1.19,2143
P039,Clothing,247.04,250.01,Budget,8901.02,0.75,1674
P040,Beauty,142.26,149.39,Budget,3854.76,0.87,1705
P041,Home,274.52,277.7,Standard,8820.11,1.26,1863
P042,Electronics,89.39,90.33,Standard,4381.05,0.85,1422
P043,Clothing,422.35,388.07,Standard,3671.82,1.17,0
P044,Books,424.74,411.46,Standard,6841.67,1.2,946
P045,Home,478.07,457.27,Premium,3955.43,1.0,238
P046,Home,85.79,83.92,Premium,6671.88,0.93,1362
P047,Electronics,315.43,334.25,Standard,6488.49,0.97,2461
P048,Books,242.38,236.17,Premium,6070.95,0.84,1140
P049,Beauty,178.75,177.02,Budget,4423.78,1.23,1387
P050,Home,182.25,178.51,Budget,5936.5,0.97,1315
P051,Electronics,212.27,195.01,Budget,6368.37,1.23,595
P052,Beauty,355.41,351.22,Standard,5911.18,0.76,1301
P053,Books,303.16,284.7,Budget,4999.78,1.29,560
P054,Home,235.24,220.5,Premium,1132.0,0.97,470
P055,Beauty,47.21,43.38,Standard,6283.56,0.73,1279
P056,Beauty,48.11,46.73,Premium,2516.0,0.72,1206
P057,Beauty,11.15,11.72,Budget,6783.18,1.15,1657
P058,Home,484.17,462.52,Budget,7834.1,1.1,542
P059,Home,12.57,12.1,Budget,5504.01,1.18,1545
P060,Clothing,60.52,62.25,Standard,5881.27,0.76,1485
P061,Books,164.15,154.16,Premium,9563.31,0.72,1129
P062,Electronics,405.64,437.84,Standard,8624.51,1.01,3187
P063,Beauty,481.43,483.37,Standard,9228.13,0.93,1749
P064,Clothing,397.11,392.95,Budget,8323.9,0.98,1398
P065,Electronics,348.37,352.4,Standard,1980.27,1.29,1550
P066,Clothing,265.44,247.71,Standard,2340.93,1.28,479
P067,Home,52.49,53.68,Budget,5739.61,1.27,1637
P068,Beauty,479.5,466.37,Standard,3214.63,1.17,657
P069,Electronics,381.61,411.92,Budget,5290.26,0.91,2917
P070,Electronics,323.09,301.69,Budget,4549.29,0.95,345
P071,Electronics,381.93,382.47,Budget,5944.73,1.03,1471
